Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
adidas-classic-backpack-legend-ink-multicolour-2,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,"The adidas BP Classic Cap features a pre-curved brim to keep your face shaded, while a hook-and-loop adjustable closure provides a comfortable fit. With a 3-Stripes design and reflective accents. The perfect piece to top off any outfit.",ADIDAS,,ACCESSORIES,"adidas, backpack, egnition-sample-data",true,Size,OS,Color,blue,,,"AD-04
-blue-OS",0.0,shopify,11,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/8072c8b5718306d4be25aac21836ce16_ec722e62-2b45-47d9-9827-a6681f196143.jpg?v=1667516333,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
adidas-classic-backpack-legend-ink-multicolour-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/32b3863554f4686d825d9da18a24cfc6_967d9bc7-fb27-467e-9871-75594145318b.jpg?v=1667516333,2,,,,,,,,,,,,,,,,,,,,,,,,
adidas-classic-backpack-legend-ink-multicolour-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/044f848776141f1024eae6c610a28d12_98f009e2-a73f-44f3-9740-eee66e1915e7.jpg?v=1667516333,3,,,,,,,,,,,,,,,,,,,,,,,,
adidas-classic-backpack-2,ADIDAS | CLASSIC BACKPACK,"This women's backpack has a glam look, thanks to a faux-leather build with an allover fur print. The front zip pocket keeps small things within reach, while an interior divider reins in potential chaos.",ADIDAS,,ACCESSORIES,"adidas, backpack, egnition-sample-data",true,Size,OS,Color,black,,,AD-03-black-OS,0.0,shopify,16,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/85cc58608bf138a50036bcfe86a3a362_861d955a-16d3-428b-851d-bd060b531284.jpg?v=1667516330,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
adidas-classic-backpack-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/8a029d2035bfb80e473361dfc08449be_9a4be92d-d13b-45a7-a53d-bb7cf9971927.jpg?v=1667516330,2,,,,,,,,,,,,,,,,,,,,,,,,
adidas-classic-backpack-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/ad50775123e20f3d1af2bd07046b777d_0be9f4fa-b6ff-466d-815a-2573dd2ca42e.jpg?v=1667516330,3,,,,,,,,,,,,,,,,,,,,,,,,
nike-swoosh-pro-flat-peak-cap-2,NIKE | SWOOSH PRO FLAT PEAK CAP,The Nike Swoosh Pro Flat Snapback features an embroidered logo for style and wool construction with an adjustable closure for a comfortable fit.,NIKE,,ACCESSORIES,"cap, egnition-sample-data, nike",true,Size,OS,Color,white,,,NK-03-white-OS,0.0,shopify,15,deny,manual,30.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/58262e66c5e9731050280eb16880d5a4_31d57473-a5fa-4a62-8861-2992ebf15004.jpg?v=1667516327,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
nike-swoosh-pro-flat-peak-cap-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/0c431da3011f1bc086cb561266367207_6a0e2378-0279-4a2b-b77f-2e6b17315982.jpg?v=1667516327,2,,,,,,,,,,,,,,,,,,,,,,,,
nike-swoosh-pro-flat-peak-cap-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/93c1c61ff207aac853d1f482e03fcd3c_2cb47080-2089-403c-91e1-eaf386bea8f7.jpg?v=1667516327,3,,,,,,,,,,,,,,,,,,,,,,,,
nike-swoosh-pro-flat-peak-cap-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/c1a864cb74de0e0fd0004872d6a00edd_135b33a5-a474-4f32-8679-679cff362c03.jpg?v=1667516327,4,,,,,,,,,,,,,,,,,,,,,,,,
flex-fit-mini-ottoman-black-2,FLEX FIT | MINI OTTOMAN BLACK,Flexfit Mini Ottoman Cap,FLEX FIT,,ACCESSORIES,"egnition-sample-data, flex-fit, men",true,Size,s,Color,black,,,FF-01-black-s,0.0,shopify,8,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/6170fd62b8ebee856d0cbdeac874abfd_5b1b6f49-f4a0-4d0a-a82d-ede025e5ae21.jpg?v=1667516323,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
flex-fit-mini-ottoman-black-2,,,,,,,,,m,,black,,,FF-01-black-m,0.0,shopify,5,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/47698bde92b6be2114ca1ac014e7d5cf_7f26bf20-7db6-4e04-8d9c-372f567b4f97.jpg?v=1667516323,2,,,,,,,,,,,,,,,,,,,kg,,,,,
flex-fit-mini-ottoman-black-2,,,,,,,,,l,,black,,,FF-01-black-l,0.0,shopify,4,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/2406ea4db27c3e7bbc7f77d9d6ce1fa8_112695c5-371a-45aa-8eda-8c9efa6ee8bd.jpg?v=1667516323,3,,,,,,,,,,,,,,,,,,,kg,,,,,
flex-fit-mini-ottoman-black-2,,,,,,,,,xl,,black,,,FF-01-black-xl,0.0,shopify,6,deny,manual,29.99,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/3f1610213c3029bbf6f050505fc02823_74ff8c22-b5be-4084-8da0-a5e11122a819.jpg?v=1667516323,4,,,,,,,,,,,,,,,,,,,kg,,,,,
